epoch,train_loss,train_acc,train_prec,train_rec,train_f1_macro,train_f1_weighted,val_loss,val_acc,val_prec,val_rec,val_f1_macro,val_f1_weighted
1,1.2590,0.4492,0.2877,0.2246,0.2522,0.5045,1.2806,0.5540,0.5543,0.5540,0.5534,0.5534
2,1.1003,0.6292,0.3481,0.3146,0.3304,0.6608,1.1508,0.6870,0.4720,0.4580,0.4529,0.6794
3,0.9588,0.7329,0.3811,0.3664,0.3736,0.7473,1.0436,0.6830,0.7150,0.6830,0.6707,0.6707
4,0.8459,0.7817,0.3960,0.3908,0.3933,0.7867,0.9903,0.6930,0.7339,0.6930,0.6790,0.6790
