Epoch,Loss,Accuracy
1,1.3898,0.3439
2,1.3171,0.4249
3,1.2819,0.4636
4,1.2839,0.4654
5,1.2582,0.4871
6,1.2422,0.5006
7,1.2438,0.4859
8,1.2152,0.5006
9,1.2301,0.5000
10,1.2032,0.5070
11,1.2191,0.5088
12,1.1947,0.5041
13,1.1800,0.5170
14,1.1826,0.5117
15,1.1742,0.5153
16,1.1635,0.5194
17,1.1565,0.5370
18,1.1409,0.5258
19,1.1348,0.5329
20,1.1362,0.5335
